name,address,district,lat,lng,mapped_region_id
대전충무체육관,대전 중구 대종로 373,중구,36.317915,127.4304473,daejeon
삼척 시민체육관,강원 삼척시 뒷나루길 153 삼척시민체육관,,37.4593991,129.1737175,gangwon
광주페퍼스타디움,광주 서구 금화로 278,서구,35.1353987,126.8789663,gwangju
천안유관순체육관,충남 천안시 서북구 번영로 208,,36.8209818,127.1141552,chungnam
인천계양체육관,인천 계양구 봉오대로 855,계양구,37.5323629,126.7495117,incheon
화성종합실내체육관,경기 화성시 향남읍 향남로 470,화성시,37.1383041,126.922587,gyeonggi
김천실내체육관,경북 김천시 운동장길 1 김천종합운동장,,36.1430049,128.0868657,gyeongbuk
경민대학교 기념관(체육관),경기 의정부시 서부로 545,의정부시,37.7456011,127.0243588,gyeonggi
부산 기장체육관,부산 기장군 기장읍 기장대로 650 기장체육관,,35.2521603,129.2233568,busan
인천삼산월드체육관,인천 부평구 체육관로 60 삼산월드체육관,부평구,37.5077049,126.7378965,incheon
잠실실내,서울 송파구 올림픽로 25,송파구,37.5161638,127.0759328,seoul
잠실학생,서울 송파구 올림픽로 25,송파구,37.5120839,127.0753895,seoul
창원체육관,경남 창원시 성산구 원이대로 450,,35.2327195,128.6662755,gyeongnam
울산동천,울산 북구 고래로 54,중구,35.5624503,129.350436,ulsan
고양소노아레나,경기 고양시 일산서구 중앙로 1601 고양종합운동장,고양시,37.6746181,126.7418265,gyeonggi
안양 정관장 아레나,경기 안양시 동안구 평촌대로 389,안양시,37.405047,126.9484472,gyeonggi
수원 KT 소닉붐 아레나,경기 수원시 권선구 서수원로577번길 171,수원시,37.276297,126.9483162,gyeonggi
원주DB프로미아레나,강원 원주시 서원대로 281,,37.3390619,127.941915,gangwon
인천선학체육관,인천 연수구 경원대로 526 선학체육관,연수구,37.4296175,126.7034866,incheon
광명 시민체육관,경기 광명시 오리로 703 광명시민체육관,광명시,37.4634416,126.8706918,gyeonggi
광주 빛고을체육관,광주 서구 금화로 278 빛고을체육관,서구,35.1368103,126.8790595,gwangju
모두투어,서울 영등포구 선유로 138 지하1층,영등포구,37.5260659,126.891572,seoul
